년,월,일, 송전단실적 합계(MWh)
2001,4,1,606955.2747
2001,4,2,719433.3379
2001,4,3,738837.173
2001,4,4,727158.4834
2001,4,5,681998.4485
2001,4,6,709455.7087
2001,4,7,680079.6058
2001,4,8,602504.9832
2001,4,9,679798.1906
2001,4,10,706092.2833
2001,4,11,712226.152
2001,4,12,713895.4582
2001,4,13,713764.6985
2001,4,14,682732.6195
2001,4,15,606009.1991
2001,4,16,688288.4968
2001,4,17,705040.9482
2001,4,18,702963.9217
2001,4,19,709005.7879
2001,4,20,707327.1064
2001,4,21,680550.0019
2001,4,22,607950.7058
2001,4,23,688454.45
2001,4,24,709976.4818
2001,4,25,718476.4647
2001,4,26,718038.6018
2001,4,27,716079.0201
2001,4,28,681538.3418
2001,4,29,611655.0431
2001,4,30,667518.7691
2001,5,1,617300.2044
2001,5,2,681327.7185
2001,5,3,718677.7411
2001,5,4,712604.5127
2001,5,5,634208.8407
2001,5,6,593963.0854
2001,5,7,691761.7938
2001,5,8,714729.33
2001,5,9,711653.1626
2001,5,10,712653.375
2001,5,11,721291.5021
2001,5,12,688824.0166
2001,5,13,618175.5119
2001,5,14,693799.0689
2001,5,15,724900.6837
2001,5,16,719584.8286
2001,5,17,719575.1663
2001,5,18,721103.4004
2001,5,19,689702.1981
2001,5,20,614671.0623
2001,5,21,700377.1422
2001,5,22,724438.3275
2001,5,23,723457.2651
2001,5,24,723651.9008
2001,5,25,728783.7825
2001,5,26,693328.7908
2001,5,27,609930.4555
2001,5,28,697725.911
2001,5,29,728079.0493
2001,5,30,718698.756
2001,5,31,713889.8106
2001,6,1,718535.9926
2001,6,2,697373.5729
2001,6,3,620561.3567
2001,6,4,718513.717
2001,6,5,734670.3755
2001,6,6,701706.2709
2001,6,7,740493.3939
2001,6,8,753319.1513
2001,6,9,724585.1248
2001,6,10,652053.2496
2001,6,11,731039.8862
2001,6,12,759860.9319
2001,6,13,745293.4742
2001,6,14,744659.455
2001,6,15,747825.9071
2001,6,16,711412.7371
2001,6,17,623251.0598
2001,6,18,713202.366
2001,6,19,737244.8624
2001,6,20,743843.4266
2001,6,21,735144.6396
2001,6,22,740161.5361
2001,6,23,707922.4743
2001,6,24,616024.9275
2001,6,25,720649.522
2001,6,26,745308.2013
2001,6,27,748993.7157
2001,6,28,762158.1758
2001,6,29,765208.0606
2001,6,30,716621.7667
2001,7,1,626382.5769
2001,7,2,758911.2914
2001,7,3,786781.7611
2001,7,4,794946.5709
2001,7,5,786825.5519
2001,7,6,777989.7714
2001,7,7,732992.3907
2001,7,8,646977.6483
2001,7,9,754471.0897
2001,7,10,768279.9119
2001,7,11,780688.8051
2001,7,12,773415.281
2001,7,13,776720.4934
2001,7,14,742439.9788
2001,7,15,643330.1571
2001,7,16,724459.6988
2001,7,17,696159.0368
2001,7,18,757491.9962
2001,7,19,771909.2585
2001,7,20,788449.7339
2001,7,21,749328.6867
2001,7,22,670960.6646
2001,7,23,775668.1028
2001,7,24,802241.2281
2001,7,25,819866.1579
2001,7,26,827017.3593
2001,7,27,826582.4247
2001,7,28,773436.0849
2001,7,29,676038.4619
2001,7,30,736785.765
2001,7,31,747851.7363
2001,8,1,735979.349
2001,8,2,732158.6419
2001,8,3,739377.8214
2001,8,4,718911.9487
2001,8,5,639738.5531
2001,8,6,756149.1336
2001,8,7,796116.5632
2001,8,8,795152.2548
2001,8,9,763392.7428
2001,8,10,753371.0762
2001,8,11,700149.1484
2001,8,12,606290.5083
2001,8,13,710080.9933
2001,8,14,759988.315
2001,8,15,710538.8582
2001,8,16,792878.1876
2001,8,17,820320.6823
2001,8,18,764337.4421
2001,8,19,662390.8941
2001,8,20,782557.5792
2001,8,21,817765.6999
2001,8,22,815355.2069
2001,8,23,811092.7036
2001,8,24,809286.8411
2001,8,25,754686.1172
2001,8,26,657824.6517
2001,8,27,760245.6428
2001,8,28,776383.5644
2001,8,29,775433.2953
2001,8,30,764552.7382
2001,8,31,775998.2334
2001,9,1,747935.9956
2001,9,2,644678.2428
2001,9,3,766484.62
2001,9,4,792610.765
2001,9,5,791295.6066
2001,9,6,789105.2803
2001,9,7,787932.3712
2001,9,8,757724.9555
2001,9,9,664213.9428
2001,9,10,756645.7491
2001,9,11,768186.0316
2001,9,12,757729.5907
2001,9,13,760915.0769
2001,9,14,756265.3897
2001,9,15,726601.4446
2001,9,16,637564.8452
2001,9,17,725349.9776
2001,9,18,763944.568
2001,9,19,759098.3344
2001,9,20,757702.3146
2001,9,21,745970.0856
2001,9,22,709913.1603
2001,9,23,644701.1756
2001,9,24,722205.4757
2001,9,25,749245.8792
2001,9,26,749835.8416
2001,9,27,744517.5387
2001,9,28,735756.4767
2001,9,29,658067.5688
2001,9,30,525937.3533
2001,10,1,450146.0508
2001,10,2,463165.6952
2001,10,3,513862.4453
2001,10,4,652427.893
2001,10,5,705587.1969
2001,10,6,698065.4749
2001,10,7,637757.8171
2001,10,8,708977.1286
2001,10,9,736676.2253
2001,10,10,733471.5419
2001,10,11,730327.4964
2001,10,12,726304.1308
2001,10,13,705131.8149
2001,10,14,638565.7806
2001,10,15,714755.217
2001,10,16,736678.0585
2001,10,17,740101.3477
2001,10,18,738776.9638
2001,10,19,746278.3597
2001,10,20,710232.9305
2001,10,21,632213.6073
2001,10,22,716743.1085
2001,10,23,743554.0959
