,구분,대여소번호,대여소명,대여소 주소,위도,경도,대여시간,이용건수
0,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,0,69
1,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,1,53
2,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,2,46
3,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,3,27
4,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,4,14
5,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,5,21
6,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,6,65
7,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,7,135
8,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,8,248
9,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,9,126
10,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,10,79
11,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,11,78
12,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,12,75
13,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,13,67
14,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,14,71
15,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,15,95
16,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,16,75
17,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,17,91
18,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,18,214
19,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,19,158
20,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,20,119
21,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,21,80
22,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,22,97
23,마포구,101,(구)합정동 주민센터,서울특별시 마포구 동교로8길 58,37.549561,126.905754,23,65
24,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,0,325
25,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,1,282
26,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,2,170
27,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,3,112
28,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,4,78
29,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,5,56
30,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,6,97
31,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,7,227
32,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,8,467
33,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,9,363
34,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,10,206
35,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,11,275
36,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,12,371
37,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,13,393
38,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,14,398
39,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,15,410
40,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,16,412
41,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,17,520
42,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,18,724
43,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,19,650
44,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,20,520
45,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,21,519
46,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,22,491
47,마포구,102,망원역 1번출구 앞,서울특별시 마포구 월드컵로 72,37.556,126.910454,23,360
48,마포구,103,망원역 2번출구 앞,서울특별시 마포구 월드컵로 79,37.554951,126.910835,0,222
49,마포구,103,망원역 2번출구 앞,서울특별시 마포구 월드컵로 79,37.554951,126.910835,1,176
50,마포구,103,망원역 2번출구 앞,서울특별시 마포구 월드컵로 79,37.554951,126.910835,2,176
51,마포구,103,망원역 2번출구 앞,서울특별시 마포구 월드컵로 79,37.554951,126.910835,3,135
52,마포구,103,망원역 2번출구 앞,서울특별시 마포구 월드컵로 79,37.554951,126.910835,4,62
53,마포구,103,망원역 2번출구 앞,서울특별시 마포구 월드컵로 79,37.554951,126.910835,5,30
54,마포구,103,망원역 2번출구 앞,서울특별시 마포구 월드컵로 79,37.554951,126.910835,6,84
55,마포구,103,망원역 2번출구 앞,서울특별시 마포구 월드컵로 79,37.554951,126.910835,7,76
56,마포구,103,망원역 2번출구 앞,서울특별시 마포구 월드컵로 79,37.554951,126.910835,8,186
57,마포구,103,망원역 2번출구 앞,서울특별시 마포구 월드컵로 79,37.554951,126.910835,9,304
58,마포구,103,망원역 2번출구 앞,서울특별시 마포구 월드컵로 79,37.554951,126.910835,10,170
59,마포구,103,망원역 2번출구 앞,서울특별시 마포구 월드컵로 79,37.554951,126.910835,11,242
60,마포구,103,망원역 2번출구 앞,서울특별시 마포구 월드컵로 79,37.554951,126.910835,12,213
61,마포구,103,망원역 2번출구 앞,서울특별시 마포구 월드컵로 79,37.554951,126.910835,13,301
62,마포구,103,망원역 2번출구 앞,서울특별시 마포구 월드컵로 79,37.554951,126.910835,14,296
63,마포구,103,망원역 2번출구 앞,서울특별시 마포구 월드컵로 79,37.554951,126.910835,15,306
64,마포구,103,망원역 2번출구 앞,서울특별시 마포구 월드컵로 79,37.554951,126.910835,16,354
65,마포구,103,망원역 2번출구 앞,서울특별시 마포구 월드컵로 79,37.554951,126.910835,17,347
