'대여일자','대여소번호','대여소','대여건수','반납건수'
'201801','108',' 서교동 사거리',355,422
'201801','503',' 더샵스타시티 C동 앞',287,256
'201801','731',' 서울시 도로환경관리센터',0,4
'201801','504',' 신자초교입구교차로',370,368
'201801','740',' 으뜸공원',0,1
'201801','746',' 목동2단지 상가',0,1
'201801','505',' 자양사거리 광진아크로텔 앞',349,328
'201801','506',' 금호 어울림 아파트 앞',89,64
'201801','949',' 연신내역 1번 출구 ',0,1
'201801','507',' 성수아이에스비즈타워 앞',180,225
'201801','1023',' 한국종합기술사옥 앞',24,33
'201801','1024','  강동구청 앞',88,87
'201801','1025',' 상일초등학교',9,5
'201801','1026',' 대명초교 입구 교차로',45,53
'201801','1027',' 프라자 아파트 앞',23,29
'201801','1028',' 포레스 주상복합 빌딩',32,42
'201801','1029',' 롯데 시네마',93,89
'201801','1030',' 미호 플랜트 앞',70,68
'201801','1031',' 암사동 CBIS',9,9
'201801','1032',' 선사고등학교',26,8
'201801','508',' 성수아카데미타워 앞',273,242
'201801','1033',' 고덕동 아남아파트',85,76
'201801','1034',' 고덕동 래미안 힐스테이트',5,11
'201801','1035',' 고덕역 4번출구',141,92
'201801','1036',' 고덕동 주양쇼핑',57,35
'201801','1037',' 강일 6단지',8,5
'201801','1038',' 강일 다솜 어린이 공원',14,16
'201801','1039',' 고덕초등학교',8,10
'201801','1040',' 강일동 에너지 마루',1,1
'201801','1041',' 묘곡초등학교',49,47
'201801','1042','5단지 사이',10,7
'201801','509',' 이마트 버스정류소 옆',502,523
'201801','1044',' 굽은다리역',117,99
'201801','510',' 서울숲 남문 버스정류소 옆',97,108
'201801','1251',' 석촌역 2번출구',16,39
'201801','1253',' 오금역 3번 출구 뒤',59,37
'201801','1256',' 문정현대아파트 교차로',78,57
'201801','1257',' 가락시장역 롯데마트앞',67,102
'201801','1258',' 가락미륭아파트 앞',128,61
'201801','1259',' 방이역 1번출구',104,108
'201801','511',' 서울숲역 4번 출구 옆',204,219
'201801','1262',' 송파여성문화회관 앞',111,107
'201801','1263',' 장지공영차고지',29,37
'201801','1264',' 천호역 10번 출구 앞',67,49
'201801','1265',' 문정동 근린공원',88,64
'201801','1266',' 문정동 글샘 공원',29,20
'201801','1267',' 올림픽공원 남2문 앞',80,60
'201801','1269',' 리센츠아파트 ',90,85
'201801','1271',' 송파도서관',151,166
'201801','512',' 뚝섬역 1번 출구 옆',377,390
'201801','1274',' 영파여고 앞',57,64
'201801','1442',' (구)신한은행 중랑교지점',50,66
'201801','1443',' 구립망우청소년독서실',52,42
'201801','1445',' 용마지구대',11,19
'201801','1446',' 중랑전화국 교차로',65,90
'201801','1447',' 면목역 3번출구',67,74
'201801','1448',' 코스트코 상봉점',106,106
'201801','109',' 제일빌딩 앞',157,152
'201801','400',' 상암한화오벨리스크 1차 앞',278,257
'201801','1526',' 수유동 채선당앞',25,27
'201801','1527',' 미아역 1번 출구 뒤',50,54
'201801','1528',' 삼각산동 주민센터',36,16
'201801','1529',' 미아동 한국전력공사',72,84
'201801','1530',' 광산사거리',75,101
'201801','1531',' 미아사거리 1번 출구',131,138
'201801','1532',' 번3동 주민센터 교차로',29,43
'201801','1533',"' 번동 주공3, 4단지 교차로'",54,53
'201801','1534',' 북서울 꿈의 숲 동문',29,31
'201801','1535',' 효성인텔리안 앞',116,133
'201801','513',' 뚝섬역 5번 출구 정류소 옆',324,405
'201801','1536',' 번동 두산위브 101동 옆',120,103
'201801','1643',' 태릉입구역 8번출구',67,68
'201801','1646',' 삼육대 입구',26,22
'201801','1650',' 중계근린공원내',105,127
'201801','1651',' 맥도날드 상계점 앞',31,51
'201801','514',' 성수사거리 버스정류장 앞',452,515
'201801','1652',' 파르코 앞',10,11
'201801','1654',' 당고개입구 오거리',20,27
'201801','1655',' 공릉1단지아파트',99,98
'201801','1656',' 중앙하이츠 아파트 입구',75,68
'201801','1657',' 노원구청 ',81,80
'201801','1659',' 중계동 을지중학교',47,37
'201801','1660',' 서울시립과학관',24,27
'201801','1713',' 쌍문동 청소년 랜드',18,13
'201801','515',' 광양중학교 앞',103,94
'201801','1714',' 도봉문화정보도서관 삼거리',32,13
'201801','1715',' 서울특별시교육청도봉도서관',27,32
'201801','1716',' 하나로마트 창동점',55,56
'201801','1717',' 시립창동운동장 입구',14,14
'201801','1719',' 신도봉사거리 버스정류장',18,29
'201801','1720',' 도봉구청 옆(중랑천변)',54,61
'201801','1721',' 창동역 2번출구 ',55,58
'201801','516',' 광진메디칼 앞',166,201
'201801','1840',' 솔브레인이엔지 뒤편',41,51
'201801','1841',' 가산동 주민센터',41,47
'201801','1842',' 한울중학교',16,10
'201801','1843',' 독산고등학교',42,41
'201801','1845',' 롯데캐슬골드파크1차 서문',62,58
'201801','300',' 정동사거리',488,396
'201801','2268',' 서초4동주민센터 ',96,84
'201801','2269',' 주홍교 하부',57,59
'201801','2272',' 교대입구 교차로',44,41
'201801','2273',' 일동제약 사거리',87,109
'201801','2274',' 양재시민의숲역 3번출구',111,146
'201801','2275',' 염곡치안센터 건너편',5,5
'201801','2276',' 영동1교 (양재천근린공원)',65,82
'201801','301',' 경복궁역 7번출구 앞',397,358
'201801','2361',' 압구정역 교차로',12,10
'201801','2362',' 신사동 가로수길 입구',104,95
'201801','2363',' 강남 을지병원 교차로',0,5
'201801','2364',' 도산대로 렉서스 앞',44,50
'201801','2365',' K+ 타워 앞',27,44
'201801','2368',' 도곡동 경남아파트 건너편',87,68
'201801','2370',' 한티역 3번출구',117,101
'201801','302',' 경복궁역 4번출구 뒤',504,572
'201801','2371',' 한국우편사업진흥원',30,18
'201801','2372',' 대치역 사거리',143,189
'201801','2373',' 개포동역 사거리',73,66
'201801','2375',' 수서역 1번출구 앞',27,29
'201801','2377',' 수서역 5번출구 뒤',65,57
'201801','3101',' 서대문구청',47,29
'201801','303',' 광화문역 1번출구 앞',501,516
'201801','3506',' 영동대교 북단',136,167
'201801','3507',' 어린이회관',122,91
'201801','3508',' 화양사거리',307,260
'201801','3509',' 세종사이버대학교',276,284
'201801','3511',' 응봉역 1번출구',73,93
